created_at,id,text,screen_name,rt,fav
Tue Sep 20 17:09:33 +0000 2016,778279945873133568,DAY 20: Do you have an advisor? Reply #Moneycleanse &amp; read everything you need to know: https://t.co/1u5q7Lc9Eq https://t.co/nmtVCHJZjq,PersonalCapital,0,1
Mon Sep 19 20:52:14 +0000 2016,777973597457354752,A report from @malito_ali on the #hybrid approach to #investing as we hit $3 billion in assets under management! https://t.co/jtwvhF9b0Q,PersonalCapital,1,4
Mon Sep 19 16:20:38 +0000 2016,777905249759612928,"DAY 19: How are you feeling 2/3 of the way there? Reply #Moneycleanse to enter, or read on: https://t.co/1u5q7Lc9Eq https://t.co/T9Vgbudm8U",PersonalCapital,0,1
Sun Sep 18 21:34:07 +0000 2016,777621752213942272,"DAY 18: Ever considered saving outside a 401k? Reply #Moneycleanse to enter, or read on at: https://t.co/1u5q7Lc9Eq https://t.co/VQAGoz9j2N",PersonalCapital,0,2
Sun Sep 18 19:47:45 +0000 2016,777594981536059392,"DAY 17: What subscription can you cut right now? Reply #Moneycleanse to enter, or read on: https://t.co/1u5q7Lc9Eq https://t.co/wcbcuCSWeB",PersonalCapital,0,1
Fri Sep 16 19:26:44 +0000 2016,776864917190303745,RT @MilindMehere: Great going @markgoines @PersonalCapital 's growth picks up speed https://t.co/5IXKcYmJyj #personalfinance #savetoday #in\u2026,PersonalCapital,1,0
Fri Sep 16 19:26:18 +0000 2016,776864808087924737,RT @cafintechnet: Great seeing @PersonalCapital CEO @BillHarris_PC on with @CoryTV at @BloombergWest this morning https://t.co/50NJpSkwce #\u2026,PersonalCapital,4,0
Fri Sep 16 18:38:55 +0000 2016,776852883526471680,"DAY 16: How much $ can you save cooking at home? Reply #Moneycleanse to enter, or read on: https://t.co/1u5q7Lc9Eq https://t.co/SfEOKz9GCY",PersonalCapital,0,1
Thu Sep 15 20:56:49 +0000 2016,776525199973822464,Our CEO @BillHarris_PC caught up with @CoryTV on @BloombergWest this morning! Watch it here: https://t.co/4n6423eOqE https://t.co/5ZMJRr4rQo,PersonalCapital,1,2
Thu Sep 15 16:22:37 +0000 2016,776456196727382017,DAY 15: Halfway mark! Take a breather and reply #MONEYCLEANSE on how you're rewarding yourself today https://t.co/coU1bbch9T,PersonalCapital,0,2
Wed Sep 14 14:50:39 +0000 2016,776070662062419970,DAY 14: Calculate your net worth - tip: our app does it for you! Reply #MONEYCLEANSE once you're set up! https://t.co/ZNYHcTfcHV,PersonalCapital,1,5
Tue Sep 13 15:32:50 +0000 2016,775718892580724736,DAY 13: Did you know your emergency fund should be set up for 6 months? Reply #MONEYCLEANSE with how close you are! https://t.co/PDWTjZw3rl,PersonalCapital,1,0
Mon Sep 12 14:00:11 +0000 2016,775333186599432192,DAY 12: Are you taking full advantage of employer matching? Make sure to sign up ASAP! Reply #MONEYCLEANSE to enter! https://t.co/O1aWnGLByq,PersonalCapital,1,0
Sun Sep 11 16:00:13 +0000 2016,775001008577454081,DAY 11: How many loans over 4% do you have and where do you want to refinance them? Reply #MoneyCleanse to enter! https://t.co/RkVAGQ7BkF,PersonalCapital,0,1
Sat Sep 10 16:00:09 +0000 2016,774638604245082113,DAY 10: What's your #1 discretionary expense and how much do you currently spend on it? Reply #MONEYCLEANSE to enter https://t.co/wIr2XLKPd0,PersonalCapital,1,3
Fri Sep 09 14:00:12 +0000 2016,774246029793239041,DAY 9:  What is the craziest thing you've had to use your emergency funds on? Why? Reply #MoneyCleanse to enter! https://t.co/hvaDdASqJ2,PersonalCapital,1,0
Thu Sep 08 16:56:07 +0000 2016,773927909799014400,DAY 8: What discretionary spend can you cut out now? Reply #MoneyCleanse to enter! Read on: https://t.co/efH1epdi6n https://t.co/fJogSfK7W5,PersonalCapital,0,0
Wed Sep 07 16:16:17 +0000 2016,773555498436009984,DAY 7: What does your dream retirement look like? Reply #MoneyCleanse to enter! Read on: https://t.co/efH1epdi6n https://t.co/7ycHLme37D,PersonalCapital,0,1
Tue Sep 06 17:10:32 +0000 2016,773206764695150592,DAY 6: What's your #1 guilty pleasure to spend $ on? Reply #MoneyCleanse to enter! Read on: https://t.co/efH1epdi6n https://t.co/Z9YLoRQtw7,PersonalCapital,1,1
Mon Sep 05 14:00:29 +0000 2016,772796549759807488,DAY 5: What percent of your income goes to debt? Reply #MoneyCleanse to enter! Read for more:https://t.co/efH1epdi6n https://t.co/F1i90etG9z,PersonalCapital,0,1
Sun Sep 04 21:15:09 +0000 2016,772543547044081664,Day 4: Do you make more more/less than you thought? Reply #MONEYCLEANSE - enter for a $25 Amazon gift card! https://t.co/EcSnk5MTs0,PersonalCapital,1,4
Sun Sep 04 15:48:59 +0000 2016,772461462937739264,DAY 3: What surprises you about where you spend the most money?Reply #MoneyCleanse to enter! https://t.co/efH1epdi6n https://t.co/VTE1Zy4P2o,PersonalCapital,1,0
Fri Sep 02 16:35:16 +0000 2016,771748336416067584,DAY 2 of 30-Day Challenge. What are you saving for? Reply #MoneyCleanse to enter the promo! https://t.co/efH1epdi6n https://t.co/hQp8QRxhci,PersonalCapital,2,0
Thu Sep 01 21:31:27 +0000 2016,771460486877487104,30-Day #MoneyCleanse. How often do you check your finances?Reply #MoneyCleanse to enter!https://t.co/efH1epdi6n https://t.co/MN1JQzmlp5,PersonalCapital,0,0
