created_at,id,text,screen_name,followers,friends,rt,fav
Wed Feb 01 20:09:03 +0000 2017,826885091385184260,"Before signing any #loan agreement, it\u2019s important to know the details. Read more here: https://t.co/wlQTZ0YzNW https://t.co/jm3u7zDhlU",Quicken,4163,308,0,0
Tue Jan 31 21:01:38 +0000 2017,826535939682009090,Worried about your #creditscore? Read this for tips on how to successfully rebuild: https://t.co/1TL6TbPSZI https://t.co/gAwpkQX1du,Quicken,4163,308,0,0
Mon Jan 30 22:45:21 +0000 2017,826199649849483264,Are you pregnant? Read this for tips to avoiding the biggest #money blunders expecting couples make:\u2026 https://t.co/Yb38a0l060,Quicken,4163,308,0,1
Fri Jan 27 20:01:09 +0000 2017,825071166184304641,Keep these 4 #financial #tips in mind when you\u2019re planning your next #family #getaway: https://t.co/HLz8pJdcKZ https://t.co/0XqamF9P8Y,Quicken,4163,308,0,1
Thu Jan 26 19:14:01 +0000 2017,824696915585437696,Happy #NationalHaveFunAtWorkDay! Read this to #conquer your work life balance: https://t.co/yiDYrt8TPF https://t.co/5R43GCUL7z,Quicken,4163,308,0,1
Wed Jan 25 18:12:29 +0000 2017,824319041858772992,Happy #NationalSpouseDay! Here are #tips to mastering couples finance: https://t.co/KYOLcS6gHR https://t.co/EoMNpmhlRJ,Quicken,4163,308,0,2
Tue Jan 24 19:12:26 +0000 2017,823971741198270464,Read this for #tips to going on a #financial diet: https://t.co/yDSZpAYXZ0 https://t.co/99MRcAACVV,Quicken,4163,308,0,4
Mon Jan 23 20:16:10 +0000 2017,823625392938369024,Interested in #learning perks to tracking your #finances? Read this!: https://t.co/uNeclj4T4l https://t.co/gjolfHgCtJ,Quicken,4163,308,0,1
Fri Jan 20 22:02:06 +0000 2017,822564886320390146,Read this to learn #tips and #tricks to develop smarter #spending habits: https://t.co/P5bzQtPwrB https://t.co/BKxJ9fnGYY,Quicken,4163,308,1,0
Thu Jan 19 20:44:03 +0000 2017,822182858877898752,Interested in #retiring abroad? Here are a few #financial tips to jumpstart your overseas #savings:\u2026 https://t.co/XEqW3BXYUl,Quicken,4163,308,0,1
Thu Jan 19 00:16:18 +0000 2017,821873883271729152,Check out these #tips for a better #payment experience to streamline your #finances: https://t.co/3hkjEljqH3 https://t.co/rKNRLZK1h4,Quicken,4163,308,0,1
Tue Jan 17 19:53:03 +0000 2017,821445248702246913,Read this for #tips that can help balance the urgent #financial goals of 40-somethings: https://t.co/HiPj9RUQwb https://t.co/E2PWzL3yJd,Quicken,4163,308,1,1
Fri Jan 13 19:49:57 +0000 2017,819994915237019648,#retiring soon? See how your #benefits play out before you opt for #early #retirement: https://t.co/6dxjqtYiuh https://t.co/oqa0IF5Cxm,Quicken,4163,308,0,0
Thu Jan 12 22:27:03 +0000 2017,819672063824662528,It\u2019s easy to fall in the #takeout #food trap. See how you can #budget with meal #delivery services:\u2026 https://t.co/zdKMLqqHIg,Quicken,4163,308,0,0
